price,quantity,type,timestamp
49284000.0,0.0582,1,2023-11-14 11:32:36
49285000.0,0.0062,1,2023-11-14 11:32:36
49286000.0,0.0055,1,2023-11-14 11:32:36
49278000.0,0.2031,0,2023-11-14 11:32:40
49277000.0,0.2168,0,2023-11-14 11:32:40
49276000.0,0.0036,0,2023-11-14 11:32:40
49274000.0,0.0047,0,2023-11-14 11:32:40
49272000.0,0.0859,0,2023-11-14 11:32:40
49280000.0,0.0039,1,2023-11-14 11:32:40
49281000.0,0.0055,1,2023-11-14 11:32:40
49282000.0,0.0057,1,2023-11-14 11:32:40
49283000.0,0.0976,1,2023-11-14 11:32:40
49284000.0,0.0097,1,2023-11-14 11:32:40
49276000.0,0.2151,0,2023-11-14 11:32:44
49274000.0,0.0047,0,2023-11-14 11:32:44
49272000.0,0.0047,0,2023-11-14 11:32:44
49271000.0,0.0043,0,2023-11-14 11:32:44
49270000.0,0.0044,0,2023-11-14 11:32:44
49287000.0,0.0918,1,2023-11-14 11:32:44
49288000.0,0.1417,1,2023-11-14 11:32:44
49289000.0,0.0053,1,2023-11-14 11:32:44
49290000.0,0.014,1,2023-11-14 11:32:44
49291000.0,0.0096,1,2023-11-14 11:32:44
49275000.0,0.0051,0,2023-11-14 11:32:47
49274000.0,0.0047,0,2023-11-14 11:32:47
49272000.0,0.0047,0,2023-11-14 11:32:47
49271000.0,0.0043,0,2023-11-14 11:32:47
49270000.0,0.0044,0,2023-11-14 11:32:47
49279000.0,0.3437,1,2023-11-14 11:32:47
49282000.0,0.0841,1,2023-11-14 11:32:47
49283000.0,0.0056,1,2023-11-14 11:32:47
49284000.0,0.0504,1,2023-11-14 11:32:47
49285000.0,0.0913,1,2023-11-14 11:32:47
49272000.0,0.2162,0,2023-11-14 11:32:52
49271000.0,0.0043,0,2023-11-14 11:32:52
49270000.0,0.0148,0,2023-11-14 11:32:52
49269000.0,0.0033,0,2023-11-14 11:32:52
49268000.0,0.0271,0,2023-11-14 11:32:52
49275000.0,0.0047,1,2023-11-14 11:32:52
49276000.0,0.006,1,2023-11-14 11:32:52
49277000.0,0.0036,1,2023-11-14 11:32:52
49278000.0,0.005,1,2023-11-14 11:32:52
49279000.0,0.0043,1,2023-11-14 11:32:52
