mid_price,mid_price_mkt,mid_price_vmap,mid_price_wt,imbalance,delta,timestamp
48901000.0,48895648.37277974,48909257.45807648,48901000.0,-1401.852039411664,1.2790003446482932,2023-11-15 01:49:21.225465
48900500.0,48908131.052452594,48909101.23758333,48900500.0,-1898.6751382350922,0.3782251796741797,2023-11-15 01:49:22.225466
48896000.0,48893456.972229905,48895444.66664173,48899500.0,-3662.089122608304,2.0065403224105807,2023-11-15 01:49:23.225466
48896000.0,48893456.972229905,48894349.081714995,48897000.0,-5243.1134687662125,1.6256729165100716,2023-11-15 01:49:24.225466
48896000.0,48893350.5447088,48893721.11058688,48896500.0,-5256.238965660334,-0.105542771414048,2023-11-15 01:49:25.225466
48896000.0,48893172.86675467,48893741.10552529,48896500.0,-5241.777106396854,-1.9576174702110904,2023-11-15 01:49:26.225467
48891500.0,48891836.00797381,48892743.7908112,48895000.0,-1914.656758800149,-1.4036860569690879,2023-11-15 01:49:27.225467
48891500.0,48891838.683030024,48892561.29970941,48895000.0,-2126.7723098248243,-0.6936838028567991,2023-11-15 01:49:28.225468
48891500.0,48891838.683030024,48892561.29970941,48895000.0,-2126.7723098248243,-0.3116922245625405,2023-11-15 01:49:29.225468
48891500.0,48891821.13757443,48892564.72515062,48895000.0,-2166.781581133604,-1.8086616193930705,2023-11-15 01:49:30.225468
48891500.0,48891821.13757443,48898852.42077744,48896000.0,-1701.555321842432,-6.139970053010073,2023-11-15 01:49:31.225468
48889500.0,48889006.53644856,48895411.8837513,48890500.0,-5745.489925354719,-4.819355542163773,2023-11-15 01:49:32.225468
48889500.0,48889003.35923206,48894852.10042714,48888500.0,-6652.099746018648,-7.700708376334086,2023-11-15 01:49:33.225469
48889500.0,48889003.35923206,48894852.10042714,48888500.0,-6652.099746018648,-3.460151317707007,2023-11-15 01:49:34.225469
48889500.0,48889002.13522937,48894853.50682771,48888500.0,-6751.027968272567,-3.453706184043615,2023-11-15 01:49:35.225469
48889500.0,48889002.13522937,48890299.04103046,48888500.0,-5383.3285165429115,-0.5832851362319235,2023-11-15 01:49:36.225470
48889500.0,48889002.13522937,48890299.04103046,48888500.0,-5383.3285165429115,-1.0451093826051687,2023-11-15 01:49:37.225470
48889500.0,48889000.013137594,48889948.40778223,48886000.0,-6627.953229263425,-2.3020479213193474,2023-11-15 01:49:38.225470
48889500.0,48889000.01211955,48890442.79034732,48886000.0,-5239.300942286849,-4.612957457763518,2023-11-15 01:49:39.225470
48885000.0,48880480.78721283,48890177.502174236,48879500.0,-1205.5770173594356,-2.3769943383756313,2023-11-15 01:49:40.225470
48884500.0,48880466.387895174,48889478.09879724,48879000.0,-3356.33964227885,-2.661182522340446,2023-11-15 01:49:41.225471
48884500.0,48880466.387895174,48889475.582125366,48879000.0,-3345.8302449658513,-0.9983304148460501,2023-11-15 01:49:42.225472
48882500.0,48881812.19673375,48889318.5768981,48878500.0,-2917.485373802483,-2.1839896233051928,2023-11-15 01:49:43.225473
48882500.0,48880824.01062598,48889384.507754125,48878500.0,-1926.6873440369964,-2.1368868261774434,2023-11-15 01:49:44.225473
48882500.0,48880721.83434837,48889383.223766215,48878500.0,-1957.3772699087858,-1.6719130813029044,2023-11-15 01:49:45.225473
48882500.0,48880721.83434837,48889383.223766215,48878500.0,-1957.3772699087858,0.17229650157978466,2023-11-15 01:49:46.225474
48882500.0,48880724.219674766,48889129.35414929,48878500.0,-1873.4921085238457,-1.2112159984218933,2023-11-15 01:49:47.225475
48874000.0,48871039.90998051,48889229.55630709,48876500.0,2493.0539674833417,-2.8803632868510167,2023-11-15 01:49:48.225476
48873000.0,48871018.6833583,48888786.23570403,48871000.0,2436.3620118051767,1.3346498951557382,2023-11-15 01:49:49.225477
48873000.0,48871018.6833583,48889100.32063045,48871000.0,3068.97572594136,1.3770730283833847,2023-11-15 01:49:50.225478
48873000.0,48871018.6833583,48889100.32063045,48871000.0,3068.97572594136,0.6187587973572717,2023-11-15 01:49:51.225478
48872500.0,48871014.01251871,48888691.9922576,48870500.0,2400.072808586061,1.1507848736985207,2023-11-15 01:49:52.225478
